movie_name,movie_director,movie_year,movie_rank,critic_name,critic_org,critic_cn
Mulholland Drive,David Lynch,2001,1,Simon Abrams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,2,Simon Abrams,Freelance film critic,US
The Tree of Life,Terrence Malick,2011,3,Simon Abrams,Freelance film critic,US
Yi Yi: A One and a Two,Edward Yang,2000,4,Simon Abrams,Freelance film critic,US
Goodbye to Language,Jean-Luc Godard,2014,5,Simon Abrams,Freelance film critic,US
The White Meadows,Mohammad Rasoulof,2009,6,Simon Abrams,Freelance film critic,US
Night Across the Street,Raoul Ruiz,2012,7,Simon Abrams,Freelance film critic,US
Certified Copy,Abbas Kiarostami,2010,8,Simon Abrams,Freelance film critic,US
Sparrow,Johnnie To,2008,9,Simon Abrams,Freelance film critic,US
Fados,Carlos Saura,2007,10,Simon Abrams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,1,Sam Adams,Freelance film critic,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Sam Adams,Freelance film critic,US
Syndromes and a Century,Apichatpong Weerasethakul,2006,3,Sam Adams,Freelance film critic,US
Spirited Away,Hayao Miyazaki,2001,4,Sam Adams,Freelance film critic,US
The Act of Killing,Joshua Oppenheimer,2012,5,Sam Adams,Freelance film critic,US
The Grand Budapest Hotel,Wes Anderson,2014,6,Sam Adams,Freelance film critic,US
The New World,Terrence Malick,2004,7,Sam Adams,Freelance film critic,US
Certified Copy,Abbas Kiarostami,2010,8,Sam Adams,Freelance film critic,US
The World,Jia Zhangke,2004,9,Sam Adams,Freelance film critic,US
Elephant,Gus Van Sant,2003,10,Sam Adams,Freelance film critic,US
Zero Dark Thirty,Kathryn Bigelow,2012,1,Thelma Adams,Freelance film critic,US
A History of Violence,David Cronenberg,2005,2,Thelma Adams,Freelance film critic,US
The Grand Budapest Hotel,Wes Anderson,2014,3,Thelma Adams,Freelance film critic,US
Stories We Tell,Sarah Polley,2012,4,Thelma Adams,Freelance film critic,US
Casino Royale,Martin Campbell,2006,5,Thelma Adams,Freelance film critic,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,6,Thelma Adams,Freelance film critic,US
